batsman,team,total_runs,balls_faced,dismissals,average,strike_rate,basra
T Stubbs,Delhi Capitals,567,313,9,63.00,181.15,244.15
JC Buttler,Gujarat Titans,356,215,5,71.20,165.58,236.78
Priyansh Arya,Punjab Kings,323,161,9,35.89,200.62,236.51
SS Iyer,Punjab Kings,288,158,6,48.00,182.28,230.28
N Pooran,Lucknow Super Giants,1234,671,27,45.70,183.90,229.60
KD Karthik,Royal Challengers Bengaluru,326,174,8,40.75,187.36,228.11
J Fraser-McGurk,Delhi Capitals,385,193,14,27.50,199.48,226.98
PD Salt,Kolkata Knight Riders,435,239,11,39.55,182.01,221.56
KL Rahul,Delhi Capitals,330,213,5,66.00,154.93,220.93
CH Morris,Delhi Daredevils,395,229,9,43.89,172.49,216.38
TM Head,Sunrisers Hyderabad,828,460,23,36.00,180.00,216.00
V Kohli,Royal Challengers Bengaluru,1133,751,18,62.94,150.87,213.81
H Klaasen,Sunrisers Hyderabad,1215,717,28,43.39,169.46,212.85
C Green,Mumbai Indians,452,282,9,50.22,160.28,210.50
Rashid Khan,Gujarat Titans,345,185,15,23.00,186.49,209.49
KL Rahul,Punjab Kings,626,451,9,69.56,138.80,208.36
SPD Smith,Rising Pune Supergiants,270,176,5,54.00,153.41,207.41
Naman Dhir,Mumbai Indians,270,152,10,27.00,177.63,204.63
MR Marsh,Lucknow Super Giants,344,214,8,43.00,160.75,203.75
LS Livingstone,Punjab Kings,827,489,24,34.46,169.12,203.58
AD Russell,Kolkata Knight Riders,2485,1429,84,29.58,173.90,203.48
TH David,Mumbai Indians,658,384,21,31.33,171.35,202.68
Shashank Singh,Punjab Kings,512,338,10,51.20,151.48,202.68
AB de Villiers,Royal Challengers Bangalore,4510,2839,104,43.37,158.86,202.23
RR Pant,Delhi Daredevils,1248,767,34,36.71,162.71,199.42
GJ Maxwell,Royal Challengers Bangalore,1214,752,33,36.79,161.44,198.23
CH Gayle,Royal Challengers Bangalore,3175,2077,73,43.49,152.86,196.35
RM Patidar,Royal Challengers Bengaluru,617,372,21,29.38,165.86,195.24
DA Warner,Sunrisers Hyderabad,4016,2819,78,51.49,142.46,193.95
YK Pathan,Rajasthan Royals,1029,631,34,30.26,163.07,193.33
N Pooran,Kings XI Punjab,521,317,18,28.94,164.35,193.29
Shubman Gill,Gujarat Titans,2104,1417,47,44.77,148.48,193.25
F du Plessis,Royal Challengers Bengaluru,438,271,14,31.29,161.62,192.91
B Sai Sudharsan,Gujarat Titans,1451,1017,29,50.03,142.67,192.70
KL Rahul,Kings XI Punjab,1928,1378,37,52.11,139.91,192.02
V Sehwag,Delhi Daredevils,2174,1356,71,30.62,160.32,190.94
DA Miller,Gujarat Titans,950,654,21,45.24,145.26,190.50
JC Buttler,Rajasthan Royals,3055,2067,72,42.43,147.80,190.23
CH Gayle,Kings XI Punjab,1153,783,27,42.70,147.25,189.95
S Dube,Chennai Super Kings,1345,874,38,35.39,153.89,189.28
SO Hetmyer,Delhi Capitals,427,269,14,30.50,158.74,189.24
Tilak Varma,Mumbai Indians,1389,955,32,43.41,145.45,188.86
SA Yadav,Mumbai Indians,3359,2236,88,38.17,150.22,188.39
DP Conway,Chennai Super Kings,1018,728,21,48.48,139.84,188.32
JJ Roy,Kolkata Knight Riders,285,188,8,35.63,151.60,187.23
AK Markram,Lucknow Super Giants,326,216,9,36.22,150.93,187.15
SO Hetmyer,Rajasthan Royals,919,597,28,32.82,153.94,186.76
HM Amla,Kings XI Punjab,577,407,13,44.38,141.77,186.15
SP Narine,Kolkata Knight Riders,1685,1011,91,18.52,166.67,185.19
F du Plessis,Royal Challengers Bangalore,1198,842,28,42.79,142.28,185.07
