team,location,total_matches,matches_won,win_percentage
Chennai Super Kings,away,75,49,65.33
Chennai Super Kings,home,89,51,57.3
Deccan Chargers,away,32,11,34.38
Deccan Chargers,home,43,18,41.86
Delhi Capitals,away,10,7,70.0
Delhi Capitals,home,6,3,50.0
Delhi Daredevils,away,89,42,47.19
Delhi Daredevils,home,70,25,35.71
Gujarat Lions,away,16,12,75.0
Gujarat Lions,home,14,1,7.14
Kings XI Punjab,away,85,44,51.76
Kings XI Punjab,home,91,38,41.76
Kochi Tuskers Kerala,away,7,4,57.14
Kochi Tuskers Kerala,home,7,2,28.57
Kolkata Knight Riders,away,95,58,61.05
Kolkata Knight Riders,home,83,34,40.96
Mumbai Indians,away,86,51,59.3
Mumbai Indians,home,101,58,57.43
Pune Warriors,away,25,6,24.0
Pune Warriors,home,20,6,30.0
Rajasthan Royals,away,78,46,58.97
Rajasthan Royals,home,67,29,43.28
Rising Pune Supergiant,away,8,5,62.5
Rising Pune Supergiant,home,8,5,62.5
Rising Pune Supergiants,away,7,5,71.43
Rising Pune Supergiants,home,7,0,0.0
Royal Challengers Bangalore,away,94,49,52.13
Royal Challengers Bangalore,home,83,35,42.17
Sunrisers Hyderabad,away,45,28,62.22
Sunrisers Hyderabad,home,63,30,47.62
