bowler,balls_bowled,runs_conceded,wickets_taken,economy_rate
Sohail Tanvir,103,122,16,7.11
SP Narine,653,790,52,7.26
DE Bollinger,234,297,23,7.62
VY Mahesh,63,81,10,7.71
A Kumble,167,217,17,7.8
SL Malinga,998,1300,96,7.82
MA Starc,202,265,17,7.87
R Ashwin,362,479,21,7.94
DW Steyn,600,806,49,8.06
Harmeet Singh,129,178,10,8.28
M Muralitharan,275,380,22,8.29
Harbhajan Singh,249,348,24,8.39
WD Parnell,206,289,14,8.42
CH Morris,372,529,29,8.53
A Zampa,47,67,10,8.55
PP Chawla,321,460,29,8.6
SW Tait,150,216,13,8.64
R Bhatia,231,336,19,8.73
B Kumar,690,1006,63,8.75
RA Jadeja,384,569,21,8.89
B Lee,311,465,10,8.97
DP Nannes,208,313,13,9.03
A Nehra,527,794,54,9.04
SK Warne,216,327,18,9.08
AR Patel,220,334,15,9.11
SK Trivedi,306,465,20,9.12
MF Maharoof,102,155,10,9.12
KK Cooper,264,402,17,9.14
S Kaul,117,179,11,9.18
Shakib Al Hasan,165,253,13,9.2
DJ Bravo,841,1300,72,9.27
M Morkel,390,603,31,9.28
Z Khan,607,946,37,9.35
Imran Tahir,219,342,23,9.37
MJ McClenaghan,308,484,27,9.43
JA Morkel,325,512,31,9.45
RJ Harris,274,434,25,9.5
IK Pathan,489,776,28,9.52
RP Singh,527,837,45,9.53
YS Chahal,157,250,12,9.55
SB Jakati,131,209,10,9.57
A Mishra,443,707,36,9.58
PP Ojha,286,458,20,9.61
MG Johnson,260,419,27,9.67
MM Sharma,442,713,38,9.68
DS Kulkarni,297,483,20,9.76
JJ Bumrah,420,688,21,9.83
Azhar Mahmood,207,339,17,9.83
S Aravind,148,244,15,9.89
SR Watson,559,927,41,9.95
JD Unadkat,278,462,27,9.97
NM Coulter-Nile,140,234,16,10.03
A Ashish Reddy,101,169,11,10.04
UT Yadav,600,1013,45,10.13
A Singh,161,272,16,10.14
JH Kallis,360,617,24,10.28
JP Faulkner,467,802,32,10.3
L Balaji,502,877,33,10.48
R Vinay Kumar,646,1137,45,10.56
MM Patel,305,542,23,10.66
P Kumar,592,1058,36,10.72
KA Pollard,288,518,23,10.79
P Awana,171,313,14,10.98
AD Russell,153,281,11,11.02
Sandeep Sharma,277,509,23,11.03
HV Patel,143,265,11,11.12
AB Dinda,412,767,26,11.17
I Sharma,338,631,12,11.2
Mohammed Shami,139,260,10,11.22
TA Boult,125,235,11,11.28
NLTC Perera,230,439,17,11.45
VR Aaron,184,360,12,11.74
