batsman,balls_faced,runs_scored,strike_rate
SP Narine,126,222,176.19
CA Lynn,123,213,173.17
RA Tripathi,184,290,157.61
YK Pathan,230,342,148.7
JC Buttler,154,226,146.75
MJ Lumb,154,225,146.1
Ishan Kishan,110,160,145.45
V Sehwag,1105,1593,144.16
F du Plessis,354,507,143.22
UT Khawaja,75,107,142.67
ST Jayasuriya,366,514,140.44
DA Warner,1425,1968,138.11
JJ Roy,33,45,136.36
WP Saha,325,443,136.31
S Vidyut,76,103,135.53
SK Raina,948,1280,135.02
JD Ryder,326,440,134.97
SW Billings,75,101,134.67
SM Katich,108,145,134.26
AC Gilchrist,1033,1385,134.08
KP Pietersen,294,392,133.33
IK Pathan,69,92,133.33
CH Gayle,1334,1778,133.28
SA Asnodkar,209,278,133.01
SA Yadav,49,65,132.65
HM Amla,199,261,131.16
AC Blizzard,76,99,130.26
LA Pomersbach,80,104,130.0
M Vohra,444,577,129.95
ML Hayden,462,599,129.65
SPD Smith,238,308,129.41
MJ Guptill,108,139,128.7
LRPL Taylor,121,155,128.1
BB McCullum,1182,1502,127.07
Q de Kock,349,443,126.93
S Sohal,220,279,126.82
KK Nair,377,478,126.79
RR Pant,81,102,125.93
JR Hopes,133,167,125.56
GJ Maxwell,135,169,125.19
KL Rahul,186,232,124.73
Kamran Akmal,41,51,124.39
RV Uthappa,1211,1506,124.36
DR Smith,976,1213,124.28
Harbhajan Singh,46,57,123.91
G Gambhir,1800,2213,122.94
DPMD Jayawardene,501,611,121.96
N Rana,89,107,120.22
MJ Clarke,64,76,118.75
RA Jadeja,38,45,118.42
Mandeep Singh,470,556,118.3
AB de Villiers,442,522,118.1
LMP Simmons,460,542,117.83
S Dhawan,1531,1792,117.05
AJ Finch,556,649,116.73
MA Agarwal,428,499,116.59
PA Patel,1305,1521,116.55
DJ Hussey,115,134,116.52
SR Tendulkar,982,1143,116.4
KC Sangakkara,450,522,116.0
M Vijay,1299,1494,115.01
MC Henriques,140,161,115.0
SR Watson,703,807,114.79
BR Dunk,35,40,114.29
AM Rahane,1256,1417,112.82
RR Sarwan,40,45,112.5
PC Valthaty,278,312,112.23
AP Tare,202,226,111.88
DJ Bravo,110,123,111.82
TM Dilshan,440,488,110.91
RG Sharma,608,668,109.87
CM Gautam,62,68,109.68
DB Das,53,58,109.43
MS Bisla,434,474,109.22
SP Fleming,110,120,109.09
R Dravid,832,905,108.77
RE Levi,57,62,108.77
LA Carseldine,35,38,108.57
SV Samson,454,491,108.15
MK Pandey,653,706,108.12
MEK Hussey,767,828,107.95
HH Gibbs,416,447,107.45
V Kohli,1082,1162,107.39
Salman Butt,98,104,106.12
SE Marsh,735,779,105.99
JH Kallis,982,1036,105.5
Yuvraj Singh,170,179,105.29
MP Stoinis,40,42,105.0
MD Mishra,124,129,104.03
SS Tiwary,147,152,103.4
NV Ojha,482,494,102.49
GJ Bailey,128,131,102.34
TL Suman,181,185,102.21
SC Ganguly,518,529,102.12
M Klinger,49,50,102.04
KD Karthik,348,355,102.01
L Ronchi,34,34,100.0
SS Iyer,282,281,99.65
JP Duminy,223,222,99.55
AT Rayudu,411,409,99.51
VVS Laxman,188,187,99.47
K Goel,161,160,99.38
PA Reddy,104,103,99.04
MK Tiwary,219,216,98.63
RE van der Merwe,37,36,97.3
PR Shah,31,30,96.77
GC Smith,387,374,96.64
FY Fazal,79,76,96.2
N Saini,84,80,95.24
CA Pujara,229,215,93.89
CL White,116,107,92.24
YV Takawale,132,121,91.67
SP Goswami,132,121,91.67
RJ Quiney,71,65,91.55
DB Ravi Teja,58,53,91.38
BJ Hodge,162,148,91.36
EJG Morgan,138,126,91.3
DJ Jacobs,91,83,91.21
RS Bopara,144,130,90.28
DJ Harris,64,57,89.06
AM Nayar,73,65,89.04
A Symonds,82,72,87.8
DA Miller,57,50,87.72
MS Dhoni,32,28,87.5
M Manhas,53,46,86.79
J Botha,52,45,86.54
W Jaffer,89,77,86.52
CJ Anderson,61,52,85.25
JEC Franklin,93,79,84.95
UBT Chand,142,120,84.51
AG Paunikar,58,49,84.48
Niraj Patel,55,45,81.82
S Chanderpaul,31,25,80.65
KM Jadhav,44,35,79.55
Y Venugopal Rao,97,76,78.35
Mohammad Hafeez,36,28,77.78
S Badrinath,237,182,76.79
KS Williamson,48,36,75.0
B Chipli,76,55,72.37
AA Bilakhia,32,23,71.88
AA Jhunjhunwala,34,24,70.59
A Chopra,39,27,69.23
IR Jaggi,37,25,67.57
GH Vihari,90,59,65.56
RT Ponting,75,45,60.0
M Kaif,38,22,57.89
HH Pandya,33,18,54.55
Yashpal Singh,36,17,47.22
