batsman,batsman_runs
DA Warner,1489
V Kohli,1281
G Gambhir,999
S Dhawan,980
AB de Villiers,903
AM Rahane,862
SK Raina,841
RG Sharma,822
RV Uthappa,782
SPD Smith,742
KD Karthik,696
AJ Finch,693
SV Samson,677
BB McCullum,674
MK Pandey,644
KK Nair,638
KA Pollard,603
HM Amla,577
MS Dhoni,574
PA Patel,572
RR Pant,564
DR Smith,563
JC Buttler,528
YK Pathan,504
WP Saha,504
GJ Maxwell,489
Yuvraj Singh,488
KH Pandya,480
MC Henriques,459
M Vijay,453
Q de Kock,445
N Rana,437
CH Gayle,427
AT Rayudu,425
SE Marsh,423
KL Rahul,397
RA Tripathi,391
M Vohra,390
KS Williamson,380
SS Iyer,368
CH Morris,349
RA Jadeja,349
AR Patel,338
MK Tiwary,324
CA Lynn,320
Ishan Kishan,319
BA Stokes,316
KM Jadhav,309
HH Pandya,294
SA Yadav,287
SR Watson,250
DA Miller,244
SP Narine,231
SW Billings,226
SS Tiwary,222
DJ Hooda,222
NV Ojha,215
F du Plessis,214
TM Head,205
P Negi,201
JP Duminy,191
MJ Guptill,189
EJG Morgan,188
AD Russell,188
Mandeep Singh,188
MP Stoinis,163
NLTC Perera,150
LMP Simmons,145
CJ Anderson,142
STR Binny,141
Sachin Baby,134
JP Faulkner,131
UT Khawaja,127
C de Grandhomme,126
BCJ Cutting,116
Shakib Al Hasan,115
Gurkeerat Singh,113
Harbhajan Singh,108
V Shankar,101
DJ Bravo,99
CR Brathwaite,95
KV Sharma,85
GJ Bailey,84
MM Sharma,83
Bipul Sharma,82
DT Christian,79
PJ Cummins,77
KP Pietersen,73
SN Khan,66
JJ Roy,59
K Rabada,55
MA Agarwal,53
A Mishra,53
AJ Tye,53
MJ McClenaghan,50
R Bhatia,50
A Ashish Reddy,47
B Kumar,47
CR Woakes,46
Iqbal Abdulla,42
R Ashwin,41
Mohammed Shami,38
SP Jackson,38
TG Southee,37
IR Jaggi,33
S Aravind,32
P Kumar,32
AD Mathews,32
C Munro,30
PP Chawla,29
MN Samuels,29
DS Kulkarni,28
Ankit Sharma,28
Basil Thampi,28
AP Tare,26
A Choudhary,25
MG Johnson,25
ER Dwivedi,24
JJ Bumrah,24
R Sathish,24
NM Coulter-Nile,23
NS Naik,23
JO Holder,22
Kuldeep Yadav,20
AD Nath,20
UT Yadav,19
R Tewatia,19
Vishnu Vinod,19
P Sahu,19
JA Morkel,16
Sandeep Sharma,15
KC Cariappa,15
Anureet Singh,15
DL Chahar,14
F Behardien,14
R Dhawan,14
YS Chahal,13
S Badree,13
R Vinay Kumar,13
KJ Abbott,13
IK Pathan,13
Swapnil Singh,12
AR Bawne,12
Rashid Khan,11
Z Khan,10
Parvez Rasool,10
Washington Sundar,9
I Sharma,8
TS Mills,8
Ankit Soni,7
AB Dinda,7
AF Milne,7
PV Tambe,7
MR Marsh,7
SL Malinga,7
J Yadav,6
PSP Handscomb,6
DM Bravo,6
D Wiese,5
A Zampa,5
Imran Tahir,5
TA Boult,5
AS Rajpoot,4
BB Sran,4
VR Aaron,4
S Nadeem,3
CJ Jordan,3
RD Chahar,3
JD Unadkat,2
Mohammad Nabi,2
S Gopal,2
PJ Sangwan,2
DW Steyn,1
A Nehra,1
KW Richardson,1
M Morkel,1
LH Ferguson,1
SB Jakati,1
M Ashwin,0
MM Patel,0
S Kaushik,0
S Kaul,0
SN Thakur,0
UBT Chand,0
