season,batsman,total_runs,strike_rate
2008,SE Marsh,616,136.28
2008,G Gambhir,534,135.53
2008,ST Jayasuriya,514,154.35
2008,SR Watson,472,146.58
2008,GC Smith,441,117.60
2009,ML Hayden,572,139.85
2009,AC Gilchrist,495,146.88
2009,AB de Villiers,465,129.53
2009,SK Raina,434,136.48
2009,TM Dilshan,418,117.09
2010,SR Tendulkar,618,126.38
2010,JH Kallis,572,110.64
2010,SK Raina,528,136.43
2010,SC Ganguly,493,112.05
2010,M Vijay,458,150.16
2011,CH Gayle,608,177.78
2011,V Kohli,557,117.76
2011,SR Tendulkar,553,108.22
2011,SE Marsh,504,144.41
2011,MEK Hussey,492,116.31
2012,CH Gayle,733,155.30
2012,G Gambhir,590,137.53
2012,S Dhawan,569,127.01
2012,AM Rahane,560,125.00
2012,V Sehwag,495,156.15
2013,MEK Hussey,733,126.38
2013,CH Gayle,720,148.76
2013,V Kohli,639,135.67
2013,SK Raina,548,148.11
2013,SR Watson,543,138.17
2014,RV Uthappa,660,136.08
2014,DR Smith,566,133.18
2014,GJ Maxwell,552,176.92
2014,DA Warner,528,136.79
2014,SK Raina,523,141.35
2015,DA Warner,562,152.72
2015,LMP Simmons,540,118.68
2015,AM Rahane,540,127.66
2015,AB de Villiers,513,169.87
2015,V Kohli,505,127.85
2016,V Kohli,973,148.55
2016,DA Warner,848,146.46
2016,AB de Villiers,687,165.54
2016,G Gambhir,501,118.16
2016,S Dhawan,501,114.38
2017,DA Warner,641,138.74
2017,G Gambhir,498,122.96
2017,S Dhawan,479,125.07
2017,SPD Smith,472,118.00
2017,SK Raina,442,142.58
2018,KS Williamson,735,140.80
2018,RR Pant,684,166.02
2018,KL Rahul,659,154.69
2018,AT Rayudu,602,146.83
2018,SR Watson,555,150.82
2019,DA Warner,692,139.52
2019,KL Rahul,593,132.66
2019,Q de Kock,529,130.94
2019,S Dhawan,521,133.25
2019,AD Russell,514,187.59
2020,KL Rahul,676,127.31
2020,S Dhawan,618,142.73
2020,DA Warner,548,129.55
2020,SS Iyer,519,119.86
2020,Ishan Kishan,516,142.94
2021,RD Gaikwad,635,133.97
2021,F du Plessis,633,134.39
2021,KL Rahul,626,134.62
2021,S Dhawan,587,122.29
2021,GJ Maxwell,513,137.53
2022,JC Buttler,863,144.80
2022,KL Rahul,616,130.51
2022,Q de Kock,508,145.14
2022,HH Pandya,487,125.84
2022,Shubman Gill,483,129.14
2023,Shubman Gill,890,152.92
2023,F du Plessis,730,151.14
2023,DP Conway,672,136.31
2023,V Kohli,639,135.10
2023,YBK Jaiswal,625,157.43
2024,V Kohli,741,149.09
2024,RD Gaikwad,583,137.18
2024,R Parag,573,140.79
2024,TM Head,567,184.69
2024,SV Samson,531,144.69
2025,B Sai Sudharsan,417,142.81
2025,V Kohli,392,140.50
2025,N Pooran,377,193.33
2025,SA Yadav,373,161.47
2025,JC Buttler,356,163.30
2025,YBK Jaiswal,356,143.55
